paysLabel,nbPilotes
États-Unis,252
Royaume-Uni,188
Italie,121
France,86
Allemagne,59
royaume d'Italie,54
Brésil,35
Suisse,32
Belgique,29
Argentine,28
Afrique du Sud,27
Japon,25
Canada,20
Espagne,20
Royaume-Uni de Grande-Bretagne et d'Irlande,19
Australie,19
Royaume des Pays-Bas,18
Autriche,17
Suède,12
Nouvelle-Zélande,10
Finlande,10
Mexique,8
Irlande,8
Royaume du Danemark,6
Russie,6
Portugal,5
Venezuela,5
Zimbabwe,4
Uruguay,4
Monaco,4
Colombie,3
République démocratique allemande,3
Thaïlande,3
Israël,3
Pologne,2
Inde,2
Tchéquie,2
Malaisie,2
république populaire de Chine,2
Indonésie,2
empire du Japon,1
Liechtenstein,1
Géorgie,1
Allemagne de l'Ouest,1
Roumanie,1
Chili,1
Estonie,1
Hongrie,1
Lettonie,1
Union soviétique,1
Algérie,1
