p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,745
http://www.wikidata.org/prop/direct/P1350,number of matches played/races/starts,581
http://www.wikidata.org/prop/direct/P641,sport,414
http://www.wikidata.org/prop/direct/P1344,participant in,414
http://www.wikidata.org/prop/direct/P735,given name,364
http://www.wikidata.org/prop/direct/P27,country of citizenship,340
http://www.wikidata.org/prop/direct/P21,sex or gender,327
http://www.wikidata.org/prop/direct/P31,instance of,327
http://www.wikidata.org/prop/direct/P569,date of birth,327
http://www.wikidata.org/prop/direct/P19,place of birth,324
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",323
http://www.wikidata.org/prop/direct/P1358,points for,316
http://www.wikidata.org/prop/direct/P3684,Driver Database driver ID,316
http://www.wikidata.org/prop/direct/P1355,number of wins,314
http://www.wikidata.org/prop/direct/P10640,pole positions,314
http://www.wikidata.org/prop/direct/P10648,podium finishes,314
http://www.wikidata.org/prop/direct/P373,Commons category,311
http://www.wikidata.org/prop/direct/P734,family name,310
http://www.wikidata.org/prop/direct/P646,Freebase ID,304
http://www.wikidata.org/prop/direct/P18,image,292
http://www.wikidata.org/prop/direct/P3048,Racing-Reference driver ID,236
http://www.wikidata.org/prop/direct/P8140,motorsportstats.com driver ID,220
http://www.wikidata.org/prop/direct/P54,member of sports team,208
http://www.wikidata.org/prop/direct/P2522,competition won,181
http://www.wikidata.org/prop/direct/P856,official website,164
http://www.wikidata.org/prop/direct/P2002,X (Twitter) username,155
http://www.wikidata.org/prop/direct/P5421,Trading Card Database person ID,147
http://www.wikidata.org/prop/direct/P935,Commons gallery,133
http://www.wikidata.org/prop/direct/P8687,social media followers,132
http://www.wikidata.org/prop/direct/P910,topic's main category,131
http://www.wikidata.org/prop/direct/P1285,Munzinger Sport number,123
http://www.wikidata.org/prop/direct/P2003,Instagram username,114
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,110
http://www.wikidata.org/prop/direct/P1559,name in native language,98
http://www.wikidata.org/prop/direct/P3368,Prabook ID,98
http://www.wikidata.org/prop/direct/P166,award received,93
http://www.wikidata.org/prop/direct/P1477,birth name,81
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,75
http://www.wikidata.org/prop/direct/P345,IMDb ID,72
http://www.wikidata.org/prop/direct/P2013,Facebook username,68
http://www.wikidata.org/prop/direct/P1532,country for sport,67
http://www.wikidata.org/prop/direct/P69,educated at,65
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,61
http://www.wikidata.org/prop/direct/P2048,height,59
http://www.wikidata.org/prop/direct/P6262,Fandom article ID,57
http://www.wikidata.org/prop/direct/P103,native language,56
http://www.wikidata.org/prop/direct/P213,ISNI,54
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,50
http://www.wikidata.org/prop/direct/P40,child,47
http://www.wikidata.org/prop/direct/P227,GND ID,45
http://www.wikidata.org/prop/direct/P3427,AS.com athlete ID,44
http://www.wikidata.org/prop/direct/P22,father,41
http://www.wikidata.org/prop/direct/P1038,relative,41
http://www.wikidata.org/prop/direct/P2600,Geni.com profile ID,38
http://www.wikidata.org/prop/direct/P2067,mass,37
http://www.wikidata.org/prop/direct/P3373,sibling,35
http://www.wikidata.org/prop/direct/P1368,National Library of Latvia ID,34
http://www.wikidata.org/prop/direct/P1741,GTAA ID,31
http://www.wikidata.org/prop/direct/P3927,eWRC-results.com racer ID,31
http://www.wikidata.org/prop/direct/P5247,Giant Bomb ID,30
http://www.wikidata.org/prop/direct/P2163,FAST ID,29
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,29
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,27
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,27
http://www.wikidata.org/prop/direct/P3417,Quora topic ID,26
http://www.wikidata.org/prop/direct/P101,field of work,25
http://www.wikidata.org/prop/direct/P11194,Famous Birthdays ID,25
http://www.wikidata.org/prop/direct/P551,residence,24
http://www.wikidata.org/prop/direct/P5297,Companies House officer ID,24
http://www.wikidata.org/prop/direct/P26,spouse,23
http://www.wikidata.org/prop/direct/P2671,Google Knowledge Graph ID,23
http://www.wikidata.org/prop/direct/P20,place of death,21
http://www.wikidata.org/prop/direct/P1814,name in kana,21
http://www.wikidata.org/prop/direct/P349,NDL Authority ID,20
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,19
http://www.wikidata.org/prop/direct/P570,date of death,19
